"Sport, activity or equipment","Injuries (1)","Younger than 5","5 to 14","15 to 24","25 to 64","65 and older"
"Exercise, exercise equipment","445,642","6,662","36,769","91,013","229,640","81,558"
"Bicycles and accessories","405,411","13,297","91,089","50,863","195,030","55,132"
"Basketball","313,924","1,216","109,696","143,773","57,413","1,825"
"Football","265,747","581","145,499","100,760","18,527","381"
"ATV's, mopeds, minibikes, etc.","242,347","3,688","42,069","61,065","122,941","12,584"
"Skateboards, scooters, hoverboards","230,506","8,513","64,439","61,546","88,328","7,680"
"Playground equipment","208,257","53,585","136,267","6,978","9,740","1,687"
"Swimming, pools, equipment","187,465","21,893","80,356","28,091","43,604","13,521"
"Soccer","179,284","1,313","80,540","68,602","27,997","832"
"Baseball, softball","136,874","2,560","61,336","39,981","29,232","3,765"
"Trampolines","123,014","32,186","70,400","10,805","9,366","257"
"Skating (excl. In-line)","76,505","356","31,816","14,117","28,278","1,938"
"Lacrosse, rugby, misc. ball games","66,882","455","20,252","20,142","15,334","10,699"
"Snowskiing, snowboarding","66,633","173","12,493","24,298","26,267","3,402"
"Golf","60,897","1,729","9,166","5,080","21,108","23,815"
"Fishing","57,257","1,204","10,711","8,169","27,733","9,439"
"Volleyball","50,643","82","16,923","25,461","7,151","1,027"
"Horseback","46,577","644","8,462","10,003","22,958","4,511"
"Hockey","37,893","186","10,967","16,469","9,494","778"
"Martial arts","30,113","22","9,288","8,336","11,969","496"
"Beach, picnic, camping equipment","25,935","2,144","3,900","2,624","11,868","5,399"
"Track and field activities, equipment","22,591","78","9,504","9,413","3,180","416"
"Racquet sports","21,730","196","2,901","3,627","7,384","7,621"
"Water skiing, tubing, surfing","21,180","81","2,792","6,207","10,969","1,131"
"Boxing","17,445","63","2,017","8,545","6,784","36"
"Toboggans, sleds, snow discs, etc.","14,040","1,436","6,136","2,635","3,261","572"
